recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-10E90E05DBAA,STS-ARTERIAL-CONDUITS-CABG-2016:S026,,,guideline_generic,Revascularization Strategy,"(Ann Thorac Surg ;101:801–9) 2016 by The Society of Thoracic Surgeons A s the techniques of surgical and percutaneous coronary revascularization for coronary artery disease (CAD) continue to evolve, reassessing available data to inform decision making should take place periodically",,CAD,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.1 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:(Ann Thorac Surg ;101:801–9) 2016 by The Society of Thoracic Surgeons A s the techniques of surgical and percutaneous co,,,,CAD,,,,,,disease:CAD [eq],,,,
GR-140C3C2F9780,STS-ARTERIAL-CONDUITS-CABG-2016:S005,1,C,guideline_generic,General Coronary Revascularization,smoking cessation is recommended,,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.1 inline-cor-loe COR 1 LOE C,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-c",0.74,recommendation-language; cor:1; loe:c; source-locator,statement:smoking cessation is recommended,,,,,,,,,,,is recommended,,,
GR-215B4C3F5BEF,STS-ARTERIAL-CONDUITS-CABG-2016:S032,,,guideline_generic,General Coronary Revascularization,"To reduce the risk of sternal infection with BITA consider the following: B Skeletonized grafts should be considered ( IIa, B)",,,,,,,,,,,"reduce the risk of sternal infection with BITA consider the following: B Skeletonized grafts should be considered ( IIa, B)",,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.4 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"outcome:reduce the risk of sternal infection with BITA consider the following: B Skeletonized grafts should be considered ( IIa, B)",,,,,,,,,,,,,,"reduce the risk of sternal infection with BITA consider the following: B Skeletonized grafts should be considered ( IIa, B)"
GR-22C461561BFD,STS-ARTERIAL-CONDUITS-CABG-2016:S019,,,guideline_generic,General Coronary Revascularization,Description of and Description Class I (benefit >>>risk) Procedure/treatment should be performed/administered,,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.3 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Description of and Description Class I (benefit >>>risk) Procedure/treatment should be performed/administered,,,,,,,,,,,should be performed,,,
GR-295971FB1EE1,STS-ARTERIAL-CONDUITS-CABG-2016:S010,1,B,guideline_generic,General Coronary Revascularization,The ITA should be used to bypass the LAD artery when bypass of the LAD is indicated,,,,,,,,,,,,bypass of the LAD is indicated,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.4 inline-cor-loe COR 1 LOE B,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-b",0.74,recommendation-language; cor:1; loe:b; source-locator,condition:bypass of the LAD is indicated,bypass of the LAD is indicated,,,,,,,,bypass of the LAD is indicated,condition:bypass of the LAD is indicated [contains],is indicated,bypass of the LAD is indicated,,
GR-305BAE676B5D,STS-ARTERIAL-CONDUITS-CABG-2016:S002,2A,B,guideline_generic,General Coronary Revascularization,"As an adjunct to left internal thoracic artery (LITA), a second arterial graft (right ITA or radial artery [RA]) should be considered in appropriate patients",,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.1 inline-cor-loe COR 2A LOE B,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.74,recommendation-language; cor:2a; loe:b; source-locator,"statement:As an adjunct to left internal thoracic artery (LITA), a second arterial graft (right ITA or radial artery [RA]) should",,,,,,,,,,,,,,
GR-3240D82453ED,STS-ARTERIAL-CONDUITS-CABG-2016:S027,,,guideline_generic,General Coronary Revascularization,"Despite these higher-risk patients, surgeons are required to provide superior short-term surgical outcomes, minimal patient morbidity, and durable long-term outcomes and graft patency",,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.2 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Despite these higher-risk patients, surgeons are required to provide superior short-term surgical outcomes, minimal pati",,,,,,,,,,,,,,
GR-32F2CAF4C1BD,STS-ARTERIAL-CONDUITS-CABG-2016:S035,,,guideline_generic,General Coronary Revascularization,"B Enhanced sternal stabilization may be considered ( IIb, C)",,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.4 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:B Enhanced sternal stabilization may be considered ( IIb, C)",,,,,,,,,,,may be considered,,,
GR-424322F3D848,STS-ARTERIAL-CONDUITS-CABG-2016:S040,,,guideline_generic,General Coronary Revascularization,"As an adjunct to LITA to LAD (or in patients with inadequate LITA grafts), use of a RA graft is reasonable when grafting coronary targets with severe stenoses ( IIa, B), When RA grafts are used, it is reasonable to use pharmacologic agents to reduce acute intraoperative and perioperative spasm ( IIa, C)",,,,severe,,,,intra-operative,,,"reduce acute intraoperative and perioperative spasm ( IIa, C)",grafting coronary targets with severe stenoses ( IIa; RA grafts are used,,acute,acute,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.5 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.62,recommendation-language; source-locator; temporal-qualifiers; clinical-entities,"outcome:reduce acute intraoperative and perioperative spasm ( IIa, C); condition:grafting coronary targets with severe stenoses ( IIa; condition:RA grafts are used; temporal_qualifier:acute",grafting coronary targets with severe stenoses ( IIa; RA grafts are used,,,,,,,,grafting coronary targets with severe stenoses ( IIa; RA grafts are used,condition:grafting coronary targets with severe stenoses ( IIa [contains] | condition:RA grafts are used [contains],is reasonable,acute; grafting coronary targets with severe stenoses ( IIa; RA grafts are used,,"reduce acute intraoperative and perioperative spasm ( IIa, C)"
GR-47AF8FC5AE93,STS-ARTERIAL-CONDUITS-CABG-2016:S018,2B,B,guideline_generic,Revascularization Strategy,The RGEA may be considered in patients with poor conduit options or as an adjunct to more complete arterial revascularization,,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.6 inline-cor-loe COR 2B LOE B,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2b, loe-b",0.74,recommendation-language; cor:2b; loe:b; source-locator,statement:The RGEA may be considered in patients with poor conduit options or as an adjunct to more complete arterial revasculariz,,,,,,,,,,,may be considered,,,
GR-4B27DC76E283,STS-ARTERIAL-CONDUITS-CABG-2016:S009,1,C,guideline_generic,Heart Team,"Use of arterial grafts (specific targets, number, and type) should be a part of the discussion of the heart team in determining the optimal approach for each patient",,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.1 inline-cor-loe COR 1 LOE C,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-c",0.74,recommendation-language; cor:1; loe:c; source-locator,"statement:Use of arterial grafts (specific targets, number, and type) should be a part of the discussion of the heart team in dete",,,,,,,,,,,,,,
GR-4C7E947A030A,STS-ARTERIAL-CONDUITS-CABG-2016:S006,2A,B,guideline_generic,General Coronary Revascularization,glycemic control should be considered,,,,,,,,,,,,,,,,2026-04-27T15:25:12.654843+00:00,,Cirugia Cardiovascular,CABG,p.1 inline-cor-loe COR 2A LOE B,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.74,recommendation-language; cor:2a; loe:b; source-locator,statement:glycemic control should be considered,,,,,,,,,,,,,,
