recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-160471264540,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S013,,,guideline_generic,General Coronary Revascularization,"Thus, in stable TBAD with suitable anatomy and highrisk features, preemptive TEVAR may be considered to improve late outcome",,,stable,,,,,,,,improve late outcome,,,chronic-stable,stable,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.8 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,outcome:improve late outcome; temporal_qualifier:stable,,,stable,,,,,,,clinical_state:stable [eq],may be considered,stable,,improve late outcome
GR-1C0B219F6AC5,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S021,,,guideline_generic,General Coronary Revascularization,"( I, B-NR) • It is reasonable to establish CSF drainage in type B dissection patients undergoing TEVAR if they are at increased risk for SCI (eg, coverage >20 cm or within 2 cm of the celiac artery origin or other risk factors) and time permits (ie, nonemergent circumstances)",,,,,,,,,,,,,,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.12 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:( I, B-NR) • It is reasonable to establish CSF drainage in type B dissection patients undergoing TEVAR if they are at in",,,,,,,,,,,is reasonable,,,
GR-2344B7110DB1,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S001,,,guideline_generic,General Coronary Revascularization,"In the sentence “Dong and colleagues92 reported outcomes of 443 patients with acute TBAD treated with TEVAR, and retrograde TAAD developed in 11 patients,” reference number 92 should be changed to reference number",,,,,,,,,,,,,,acute,acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.22 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:acute,,,,,,,,,,,,acute,,
GR-2AA3F25A365D,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S017,,,guideline_generic,General Coronary Revascularization,"TIMING OF INTERVENTION • In patients with acute uncomplicated TBAD with high-risk features, it may be reasonable to consider delaying treatment (beyond 24 hours up to 90 days) with TEVAR to reduce early adverse events and to improve late outcomes",,,,,,,,,,,reduce early adverse events and to improve late outcomes,,,acute,acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.10 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,outcome:reduce early adverse events and to improve late outcomes; temporal_qualifier:acute,,,,,,,,,,,,acute,,reduce early adverse events and to improve late outcomes
GR-2F76EE209AF8,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S014,,,guideline_generic,General Coronary Revascularization,"CHRONIC TBAD • Open surgical repair should be considered for patients with chronic TBAD with indications for intervention, unless comorbidities are prohibitive or anatomy is not suitable for TEVAR",,,,,,,,,,,,,,chronic,CHRONIC; chronic,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.9 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:CHRONIC,,,,,,,,,,,,CHRONIC; chronic,,
GR-2FE38F843343,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S019,,,guideline_generic,General Coronary Revascularization,"( I, B-NR) • TEVAR is reasonable in patients with connective tissue disorders with acute complicated TBADs and anatomy favorable for TEVAR as a bridge to delayed open reconstruction",,,,,,,,,,,,,,acute,acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.10 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:acute,,,,,,,,,,,is reasonable,acute,,
GR-35A6F3A22A03,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S022,,,guideline_generic,General Coronary Revascularization,"( IIA, B-NR) • It is reasonable to establish CSF drainage in type B dissection patients who develop symptoms of paraparesis/paraplegia",,,,,,,,,,,,,,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.12 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:( IIA, B-NR) • It is reasonable to establish CSF drainage in type B dissection patients who develop symptoms of parapare",,,,,,,,,,,is reasonable,,,
GR-4648DBAE8F46,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S007,,,guideline_generic,General Coronary Revascularization,"( IIA, B-NR) • Fenestration may be considered for complicated hyperacute, acute, or subacute TBADs",,,,,,,,,,,,,,acute,acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.5 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:acute,,,,,,,,,,,may be considered,acute,,
GR-47AA72DA2E9B,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S016,,,guideline_generic,General Coronary Revascularization,"Indications for elective intervention in the chronic setting include aneurysmal dilatation (total 55-60 mm), increasing rate of diameter (>10 mm/y), and/or symptoms (pain, malperfusion).95-98 Acute redissection or rupture (ie, acute aortic syndrome) presentation should invoke intervention as appropriate for acute aortic dissection",,,,,,,,,,,,,,acute,elective; chronic; Acute; acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.9 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.62,recommendation-language; source-locator; temporal-qualifiers; clinical-entities,temporal_qualifier:elective; temporal_qualifier:chronic; temporal_qualifier:Acute,,,,,,,,,,,,elective; chronic; Acute; acute,,
GR-48C9ED40FD8C,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S006,,,guideline_generic,General Coronary Revascularization,"ACUTE COMPLICATED TBAD • TEVAR is indicated for complicated hyperacute, acute, or subacute TBADs with rupture and/or malperfusion and favorable anatomy for TEVAR",,,,,,,,,,,,,,acute,ACUTE; acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.5 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:ACUTE,,,,,,,,,,,is indicated,ACUTE; acute,,
GR-4A446DF967E7,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S004,,,guideline_generic,General Coronary Revascularization,Additional strong recommendations include that open surgical repair should be considered for patients with chronic TBAD with indications for intervention unless comorbidities are prohibitive,,,,,,,,,,,,,,chronic,chronic,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.2 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:chronic,,,,,,,,,,,,chronic,,
GR-5E09C5523F49,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S023,,,guideline_generic,General Coronary Revascularization,Carotid-subclavian transposition should be avoided in patients with a patent pedicled left internal mammary artery bypass graft due to the risk of myocardial ischemia during the mandatory period of proximal LSA clamp with this procedure,,,,,,,,,,,,,,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.13 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Carotid-subclavian transposition should be avoided in patients with a patent pedicled left internal mammary artery bypas,,,,,,,,,,,,,,
GR-7D4101AA916B,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S002,,,guideline_generic,General Coronary Revascularization,"Thoracic endovascular aortic repair (TEVAR) is indicated for complicated hyperacute, acute, or subacute TBADs and favorable anatomy for TEVAR",,,,,,,,,,,,,,acute,acute,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.1 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:acute,,,,,,,,,,,is indicated,acute,,
GR-9F7BFCDC2D01,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S005,,,guideline_generic,General Coronary Revascularization,TEVAR is reasonable for patients with chronic TBAD with indications for intervention with suitable anatomy but who are at high risk for complications of open repair due to comorbidities,,,,high risk,,,,,,,,,,chronic,chronic,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.2 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:chronic,,,,,,,,,,,is reasonable,chronic,,
GR-A4660C16B5FA,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S011,,,guideline_generic,General Coronary Revascularization,"OMT implies sustained anti-impulse therapy for control of both hypertension and heart rate while also limiting the maximum change in left ventricular pressure during early systole (ie, maximum dp/dt).39,64-67 Maintaining blood pressure 120/80 mm Hg and heart rate <70 beats/min are optimal, and aand b-blockers are useful primary agents",,,,,,,,,,,,,,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.7 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:OMT implies sustained anti-impulse therapy for control of both hypertension and heart rate while also limiting the maxim,,,,,,,,,,,,,,
GR-A8BDA49B69C4,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S003,,,guideline_generic,General Coronary Revascularization,Open surgical repair is reasonable over TEVAR as a more durable treatment in patients with connective tissue disorders who have TBAD with progression of disease despite OMT,,,,,,,,,,TEVAR as a more durable treatment in patients with connective tissue disorders who have TBAD with progression of disease despite OMT,,,,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.1 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,comparator:TEVAR as a more durable treatment in patients with connective tissue disorders who have TBAD with progression of disease despite OMT,,,,,,,,,,,is reasonable,,,
GR-AC7244697EA9,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S025,,,guideline_generic,General Coronary Revascularization,"Neither of these investigators suggest that these dissections should be treated differently in the absence of a complicated presentation, rather they espouse that complications should be treated when they occur",,,,,,,,,,,,they occur,a complicated presentation,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.14 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,condition:they occur; exclusion:a complicated presentation,they occur,,,,,,a complicated presentation,,they occur,exclusion:a complicated presentation [absent] | condition:they occur [contains],,they occur,a complicated presentation,
GR-B3847448213A,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S015,,,guideline_generic,General Coronary Revascularization,"( IIA, B-NR) • TEVAR is reasonable for patients with chronic TBAD with an indication for intervention with suitable anatomy (adequate landing zone, absence of ascending or arch aneurysm) but who are at high risk for complications of open repair due to comorbidities",,,,high risk,,,,,,,,,,chronic,chronic,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.9 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:chronic,,,,,,,,,,,is reasonable,chronic,,
GR-C30B714A7B8B,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S018,,,guideline_generic,General Coronary Revascularization,Optimal timing of TEVAR for patients with TBAD should be individualized according to the presenting or evolving clinical and/or radiologic features,,,,,,,,,,,,,,,,2026-04-27T15:25:41.124053+00:00,,Cirugia Cardiovascular,Aorta,p.10 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Optimal timing of TEVAR for patients with TBAD should be individualized according to the presenting or evolving clinical,,,,,,,,,,,,,,
GR-C40AB9795625,STS-AATS-TYPE-B-AORTIC-DISSECTION-2022:S010,,,guideline_generic,General Coronary Revascularization,"( IIB, B-NR) • Close clinical follow-up after hospital discharge is recommended for patients presenting with acute TBAD",,,,,,,,,,,,,,acute,acute,2026-04-27T15:25:41.124053+00:00,inpatient,Cirugia Cardiovascular,Aorta,p.7 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:acute,,,,,,,,,,,is recommended,acute,,
