seed_id,paper_id,domain_group,subdomain,clinical_phase,scenario_relevance,short_label,target_title,full_title,authors,authors_vancouver,year,journal,volume,issue,pages,doi,pmid,pmcid,publisher_url,pdf_url,guideline_body,publication_type,source_of_truth,validation_status,access_status,abstract_text,pdf_local_path,landing_page_local_path,pmc_xml_local_path,abstract_local_path,acquisition_result,index_case_fit,priority_rank_1_to_50,must_know_tier,notes
A01,a01,guideline_trunk,coronary_revascularization,transversal,direct,ACC/AHA/SCAI Revascularization 2021,2021 ACC/AHA/SCAI Guideline for Coronary Artery Revascularization,2021 ACC/AHA/SCAI Guideline for Coronary Artery Revascularization: Executive Summary,['Hasija S'],Hasija S.,2022,Circulation,145,3,e4-e17,10.1161/cir.0000000000001038,34882435,PMC6839829,https://doi.org/10.1161/CIR.0000000000001038,,ACC/AHA/SCAI,guideline,pubmed,validated_primary,paywalled,,,raw\landing_pages\a01.html,,,not_downloaded_legal_restriction,very_high,1,absolute_core,
A02,a02,guideline_trunk,acute_coronary_syndromes,preop,direct,ACC/AHA ACS 2025,2025 ACC/AHA/ACEP/NAEMSP/SCAI Guideline for Acute Coronary Syndromes,2025 ACC/AHA/ACEP/NAEMSP/SCAI Guideline for the Management of Patients With Acute Coronary Syndromes,"['Beltrame JF', 'Nicholls SJ']","Beltrame JF, Nicholls SJ.",2025,Circulation,151,11,e1010-e1138,10.1161/cir.0000000000001309,40014670,PMC12558862,https://doi.org/10.1161/CIR.0000000000001309,,ACC/AHA/ACEP/NAEMSP/SCAI,guideline,pubmed,validated_primary,paywalled,,,raw\landing_pages\a02.html,,,not_downloaded_legal_restriction,very_high,2,absolute_core,
A03,a03,guideline_trunk,acute_coronary_syndromes,preop,direct,ESC ACS 2023,2023 ESC Guidelines for the management of acute coronary syndromes,2023 ESC Guidelines for the management of acute coronary syndromes,['Wenger NK'],Wenger NK.,2023,European Heart Journal,44,38,3720-3826,10.1093/eurheartj/ehad191,40152902,,https://doi.org/10.1093/eurheartj/ehad191,,ESC,guideline,official_society,validated_primary,not_downloaded_legal_restriction,"ESC Guidelines provide best practice, evidence-based recommendations for diagnosing and treating patients with cardiovascular diseases. It is not always possible for best practices to be followed, however, particularly in low-resource settings. To address this issue, a set of guideline-related documents were created to identify key priorities for users in these settings. The documents highlight the related recommendations and describe key strategies for clinicians to approach implementation of these recommendations or discuss alternatives which are in line with the intention of the recommendations, if not having all of the same advantages. The suggestions cannot be used as exact substitutes for the original recommendations in the guidelines, which have not been altered and continue to reflect best practice. This document on key priorities for low-resource settings was developed by the task force Chairs and other members of the task force who produced the 2023 ESC Guidelines for the management of acute coronary syndromes, which are freely available on the ESC website (https://www.escardio.org/Guidelines). This document also underwent external review including international experts from within and beyond Europe and ESC partner organizations, including the Interamerican Society of Cardiology (IASC), the Pan-African Society of Cardiology (PASCAR), the Asian Pacific Society of Cardiology (APSC), and the ASEAN Federation of Cardiology (AFC).",,,,raw\abstracts\a03.txt,not_downloaded_legal_restriction,very_high,3,absolute_core,
A04,a04,guideline_trunk,myocardial_revascularization,transversal,direct,ESC/EACTS Revascularization 2018,2018 ESC/EACTS Guidelines on myocardial revascularization,2018 ESC/EACTS Guidelines on myocardial revascularization,"['Byrne RA', 'Fremes S', 'Capodanno D', 'Czerny M', 'Doenst T', 'Emberson JR', 'Falk V', 'Gaudino M']","Byrne RA, Fremes S, Capodanno D, Czerny M, Doenst T, Emberson JR, et al.",2019,European Heart Journal,40,2,87-165,10.1093/eurheartj/ehy394,30165437,,https://doi.org/10.1093/eurheartj/ehy394,,ESC/EACTS,guideline,pubmed,validated_primary,not_downloaded_legal_restriction,,,,,,not_downloaded_legal_restriction,very_high,4,absolute_core,
A05,a05,guideline_trunk,diabetes_pharmacology,longitudinal,high,ADA Pharmacologic 2026,Standards of Care in Diabetes 2026 Pharmacologic Approaches to Glycemic Treatment,9. Pharmacologic Approaches to Glycemic Treatment: Standards of Care in Diabetes-2026.,['American Diabetes Association Professional Practice Committee for Diabetes*.'],American Diabetes Association Professional Practice Committee for Diabetes*..,2026,Diabetes care,49,Supplement_1,S183-S215,10.2337/dc26-s009,41358900,PMC6245208,https://doi.org/10.2337/dc19-s009,https://diabetesjournals.org/care/article-pdf/42/Supplement_1/S90/551549/dc19s009.pdf,ADA,guideline,pubmed,validated_primary,abstract-only,"The American Diabetes Association (ADA) ""Standards of Care in Diabetes"" includes the ADA's current clinical practice recommendations and is intended to provide the components of diabetes care, general treatment goals and guidelines, and tools to evaluate quality of care. Members of the ADA Professional Practice Committee for Diabetes, an interprofessional expert committee, are responsible for updating the Standards of Care annually, or more frequently as warranted. For a detailed description of ADA standards, statements, and reports, as well as the evidence-grading system for ADA's clinical practice recommendations and a full list of Professional Practice Committee members, please refer to Introduction and Methodology. Readers who wish to comment on the Standards of Care are invited to do so at professional.diabetes.org/SOC.",,raw\landing_pages\a05.html,,raw\abstracts\a05.txt,abstract_saved_no_legal_pdf,high,5,absolute_core,
A06,a06,guideline_trunk,diabetes_cardiovascular,longitudinal,high,ADA CVD Risk 2026,Standards of Care in Diabetes 2026 Cardiovascular Disease and Risk Management,10. Cardiovascular Disease and Risk Management: Standards of Care in Diabetes-2026,['American Diabetes Association Professional Practice Committee for Diabetes* .'],American Diabetes Association Professional Practice Committee for Diabetes* ..,2026,Diabetes Care,49,Supplement_1,S216-S245,10.2337/dc26-s010,41358899,PMC12690187,https://doi.org/10.2337/dc26-S010,https://diabetesjournals.org/care/article-pdf/44/Supplement_1/S125/550333/dc21s010.pdf,ADA,guideline,pubmed,validated_primary,abstract-only,"The global increase in childhood and adolescent obesity has significantly contributed to the rising prevalence of metabolic dysfunction-associated steatotic liver disease (MASLD) - a condition now recognized as a key metabolic complication in youth. MASLD significantly increases the risk of youth-onset type 2 diabetes (T2D), particularly among obese individuals. Its asymptomatic progression presents considerable challenges for timely diagnosis and intervention.
To review epidemiology, pathophysiological mechanisms, and management strategies related to pediatric MASLD, exploring its interaction with obesity and youth-onset T2D.
A comprehensive literature search was conducted using PubMed, Scopus, and Google Scholar to identify peer-reviewed studies published between 2015 and 2025. Keywords included ""pediatric MASLD"", ""childhood obesity"", ""youth-onset type 2 diabetes"", ""hepatic insulin resistance"", and ""noninvasive biomarkers"". Articles were selected based on relevance, methodological quality, and focus on human pediatric populations.
MASLD affects approximately 13% of children globally and up to 47% of those with obesity, with the highest prevalence reported in urban areas of the United States, China, and India. In children and adolescents, excess adiposity is the leading contributor to hepatic steatosis and metabolic dysfunction, particularly when body mass exceeds standard growth benchmarks for age and sex. MASLD increases the risk of adolescent T2D by approximately 2.7-fold. Key pathophysiological mechanisms include hepatic insulin resistance, mitochondrial dysfunction, and chronic inflammation, driven by lipotoxic metabolites such as ceramides and pro-inflammatory cytokines. Lifestyle modifications - particularly low free-sugar diets and structured physical activity - have demonstrated moderate efficacy in reducing hepatic fat and improving metabolic outcomes. Pharmacologic interventions, including glucagon-like peptide-1 receptor agonists such as liraglutide and semaglutide, show potential for weight reduction and glycemic control, though their effects on hepatic histology remain under investigation.
MASLD represents a critical metabolic threat in pediatric populations, strongly influenced by obesity and closely associated with increased risk of youth-onset T2D. Effective management requires early detection, multidisciplinary interventions, and equitable access to care. Future research should prioritize the validation of noninvasive diagnostic tools, development of targeted therapies, and reduction of socioeconomic and ethnic disparities in disease burden and treatment outcomes.",,raw\landing_pages\a06.html,,raw\abstracts\a06.txt,abstract_saved_no_legal_pdf,high,6,absolute_core,
A07,a07,guideline_trunk,diabetes_ckd,longitudinal,high,ADA CKD Risk 2026,Standards of Care in Diabetes 2026 Chronic Kidney Disease and Risk Management,11. Chronic Kidney Disease and Risk Management: Standards of Care in Diabetes-2026,['American Diabetes Association Professional Practice Committee for Diabetes* .'],American Diabetes Association Professional Practice Committee for Diabetes* ..,2026,Diabetes Care,49,Supplement_1,S246-S260,10.2337/dc26-s011,41358881,PMC12690176,https://doi.org/10.2337/dc26-S011,https://diabetesjournals.org/care/article-pdf/45/Supplement_1/S175/687955/dc22s011.pdf,ADA,guideline,pubmed,validated_primary,abstract-only,"Chronic kidney disease (CKD) disproportionately affects African American (AA) and Hispanic individuals in the United States (U.S.), with higher rates of progression, complications, and mortality. Despite advances in pharmacologic treatment, disparities persist, highlighting the need for additional evidence-based, community-level strategies. Diets rich in fruits and vegetables (F&V) are linked to reduced CKD incidence, progression, mortality, and improved cardiovascular disease risk, the leading cause of death in patients with CKD. Although F&V-based diets are recommended for managing diabetes and hypertension, the primary causes of CKD, these diets remain underprescribed and underutilized. Poverty, limited education, and low health literacy reduce F&V access in minoritized communities, worsening CKD-related outcomes. Interventional studies show that high F&V diets, alongside standard care, slow CKD progression and reduce cardiovascular disease mortality. Expanding community-level F&V access might increase dietary uptake and improve outcomes for those with CKD and related conditions, helping reduce racial/ethnic disparities in kidney health across the United States.",,raw\landing_pages\a07.html,,raw\abstracts\a07.txt,abstract_saved_no_legal_pdf,high,7,absolute_core,
A08,a08,guideline_trunk,diabetes_hospital,icu,high,ADA Hospital Care 2026,Standards of Care in Diabetes 2026 Diabetes Care in the Hospital,16. Diabetes Care in the Hospital: Standards of Care in Diabetes-2026,['American Diabetes Association Professional Practice Committee for Diabetes* .'],American Diabetes Association Professional Practice Committee for Diabetes* ..,2026,Diabetes Care,49,Supplement_1,S339-S355,10.2337/dc26-s016,41358892,PMC12690180,https://doi.org/10.2337/dc26-S016,https://diabetesjournals.org/care/article-pdf/49/Supplement_1/S358/848857/dc26sdis.pdf,ADA,guideline,pubmed,validated_primary,abstract-only,"HbA1c thresholds used to define dysglycemia in autoantibody-positive individuals at risk for type 1 diabetes do not account for age-related increases in HbA1c and may overestimate progression risk in adults. We evaluated whether age-adjusted HbA1c or a higher HbA1c threshold improves risk stratification across age groups.
We analyzed 5,024 autoantibody-positive relatives (3,720 children and 1,304 adults) participating in the TrialNet Pathway to Prevention study. Age-related HbA1c effects were modelled using 6,273 adults from the population-based Exeter 10,000 cohort. Progression risk was compared using the standard dysglycemia threshold (HbA1c ≥ 5.7% [39 mmol/mol]), age-adjusted HbA1c, and an alternative threshold of HbA1c ≥6.0% (42 mmol/mol).
Using HbA1c ≥5.7%, children had higher 1-year progression risk than adults among single autoantibody-positive participants (38% [95% CI 28, 47] vs. 13% [7.2, 19]) and multiple autoantibody-positive participants (55% [49, 60] vs. 38% [27, 47]; both p<0.001). Age adjustment reduced these differences; progression risk was similar among single autoantibody-positive participants (38% [28, 47] vs. 27% [13, 39]; p=0.32), with atienuated differences among multiple autoantibody-positive participants. An HbA1c threshold ≥6.0% yielded comparable progression risk between adults and children across autoantibody subgroups. In post hoc analyses, adults aged <30 years had progression risk similar to children (p=0.1).
Age-related variation in HbA1c influences dysglycemia classification in adults at risk for type 1 diabetes. Age-adjusted HbA1c or a higher HbA1c threshold (≥6.0% [42 mmol/mol]) in adults ≥30 years identifies individuals with progression risk comparable to children and may improve age-specific risk stratification in prevention settings.",,raw\landing_pages\a08.html,,raw\abstracts\a08.txt,abstract_saved_no_legal_pdf,high,8,absolute_core,
A09,a09,guideline_trunk,ckd_guideline,longitudinal,high,KDIGO CKD 2024,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,['Authors N'],Authors N.,2024,Kidney International,105,4S,S117-S314,10.1016/j.kint.2023.10.018,38490803,PMC12667306,https://doi.org/10.1016/j.kint.2023.10.018,https://kidneysjournal.com/index.php/journal/article/download/456/555,KDIGO,guideline,pubmed,validated_primary,open,"The new KDIGO («Kidney Disease Improving Global Outcomes») 2024 guidelines on chronic kidney disease (CKD) provide significant updates. They reaffirm the importance of the glomerular filtration rate (GFR) and of the urine albumin-to-creatinine ratio (ACR) for diagnosing and classifying CKD. CKD is defined by a GFR < 60 mL/min/1.73 m² and/or ACR > 30 mg/g and/or persistent renal abnormalities for at least three months. The main innovation is the preferential use of equations combining creatinine and cystatin C to estimate GFR, although cystatin C assay may not always be available or reimbursed. The guidelines also recommend the EKFC («European Kidney Function Consortium») equations, particularly suited to Europe and applicable to all age groups. ACR remains a key indicator for assessing the risk of CKD progression and the response to nephroprotective treatments. The use of the «Kidney Failure Risk Equation» is encouraged to estimate the risk of kidney failure and guide clinical decisions.",raw\pdf\2024__Authors__KDIGO_CKD_2024.pdf,raw\landing_pages\a09.html,,raw\abstracts\a09.txt,pdf_downloaded,high,9,absolute_core,
A10,a10,guideline_trunk,aki_guideline,icu,high,KDIGO AKI 2012,KDIGO Clinical Practice Guideline for Acute Kidney Injury,KDIGO Clinical Practice Guideline for Acute Kidney Injury,['Khwaja A'],Khwaja A.,2012,Kidney International Supplements,2,1,1-138,10.1038/kisup.2012.1,41101710,PMC10658998,https://doi.org/10.1038/kisup.2012.1,https://www.karger.com/Article/Pdf/339789,KDIGO,guideline,official_society,validated_primary,abstract-only,"Recently the American College of Surgeons National Surgical Quality Improvement Program (ACS NSQIP) lowered the thresholds for acute kidney injury (AKI) to align with the Kidney Disease: Improving Global Outcomes (KDIGO) definition (≥0.3 mg/dL change from the reference serum creatinine [sCr] within 48 hours of surgery or initiation of dialysis). The Vascular Quality Initiative (VQI) defines postoperative renal dysfunction as a rise in sCr >0.5 mg/dL from baseline or new postoperative temporary or permanent dialysis throughout the postoperative course. This definition does not align with guidelines outside of VQI and may not capture subtle changes in perioperative renal function that can impact patient outcomes.
This was a single-institution retrospective review of adult patients with no previous history of preoperative hemodialysis undergoing elective or nonelective major vascular surgery that were registered with the VQI. Patients undergoing endovascular abdominal or thoracic aortic repair, open abdominal aortic aneurysm repair, and suprainguinal or infrainguinal bypasses were included.
A total of 932 patients were included. AKI occurred in 6% of patients using the VQI definition (VQI-AKI), as compared with 18% of patients using a modified KDIGO definition (≥0.3 mg/dL change from the reference sCr within 48 hours of surgery or initiation of dialysis [mKDIGO-AKI]). Regardless of the definition used, patients with AKI had longer postoperative length of stay and higher morbidity and mortality. One-year survival was lower for VQI-AKI patients vs mKDIGO-AKI patients, 57% vs 77%, respectively (log-rank P < .001). In a multivariable Cox regression model adjusting for age, nonelective admission status, and history of congestive heart failure, patients with mKDIGO-AKI had 2.5× higher odds of postoperative mortality compared with patients without AKI.
The current VQI definition underestimates the rate of clinically significant AKI when compared with mKDIGO, as patients with newly identified AKI using the mKDIGO definition are associated with increased postoperative complications and decreased survival as compared with those without AKI. Given the importance of AKI on short- and long-term outcomes, the inclusion of preoperative and highest postoperative sCr within 7 days of surgery among patients at high risk for postoperative AKI (open abdominal aortic aneurysm, supra/infrainguinal bypass, thoracic endovascular aortic repair, and endovascular aortic repair) may be warranted to facilitate appropriate benchmarking and quality improvement efforts.",,raw\landing_pages\a10.html,,raw\abstracts\a10.txt,abstract_saved_no_legal_pdf,high,10,absolute_core,
