recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-033C71132484,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S040,,,guideline_generic,General Coronary Revascularization,"Therefore, the choice to continue long-term antiarrhythmic medication must take patient preferences, potential adverse effect risks, and symptom burden during follow-up into account",,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.14 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Therefore, the choice to continue long-term antiarrhythmic medication must take patient preferences, potential adverse e",,,,,,,,,,,,,,
GR-05B5893760B1,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S021,,,guideline_generic,General Coronary Revascularization,"Considerations for managing atrial fibrillation and the left atrial appendage should therefore be commonplace in many areas now increasingly treated jointly by surgeons, interventional cardiologists, and electrophysiologists in a multidisciplinary fashion",,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.3 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Considerations for managing atrial fibrillation and the left atrial appendage should therefore be commonplace in many ar,,,,,,,,,,,,,,
GR-0A456822BA48,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S008,,,guideline_generic,General Coronary Revascularization,"Isolated surgical left atrial appendage obliteration may be considered in patients with longstanding persistent atrial fibrillation, a high stroke risk, and contraindications for or failure of long-term oral anticoagulation",,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.12 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Isolated surgical left atrial appendage obliteration may be considered in patients with longstanding persistent atrial f,,,,,,,,,,,may be considered,,,
GR-0C1F57F9DEC3,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S030,,,guideline_generic,General Coronary Revascularization,Surgical ablation for atrial fibrillation is recommended for first-time nonemergent concomitant mitral operations to restore sinus rhythm and improve long-term outcomes,,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.7 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Surgical ablation for atrial fibrillation is recommended for first-time nonemergent concomitant mitral operations to res,,,,,,,,,,,is recommended,,,
GR-0C7376C7ACAB,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S034,,,guideline_generic,General Coronary Revascularization,"Surgical ablation for symptomatic atrial fibrillation in the absence of structural heart disease refractory to class I/III antiarrhythmic drugs, catheter-based therapy, or both, is reasonable as a primary stand-alone procedure to restore sinus rhythm",,,symptomatic,,,,,,,,,,structural heart disease refractory to class I/III antiarrhythmic drugs,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.10 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,exclusion:structural heart disease refractory to class I/III antiarrhythmic drugs,,,symptomatic,,,,structural heart disease refractory to class I/III antiarrhythmic drugs,,,clinical_state:symptomatic [eq] | exclusion:structural heart disease refractory to class I/III antiarrhythmic drugs [absent],is reasonable,,structural heart disease refractory to class I/III antiarrhythmic drugs,
GR-16BA52741CE3,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S016,,,guideline_generic,General Coronary Revascularization,IIa B-NR Surgical ablation for symptomatic persistent or longstanding persistent atrial fibrillation in the absence of structural heart disease is reasonable as a stand-alone procedure using the Cox maze III/IV lesion set as the preferred procedure,,,symptomatic,,,,,,,,,,structural heart disease is reasonable as a stand-alone procedure using the Cox maze III/IV lesion set as the preferred procedure,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.2 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,exclusion:structural heart disease is reasonable as a stand-alone procedure using the Cox maze III/IV lesion set as the preferred procedure,,,symptomatic,,,,structural heart disease is reasonable as a stand-alone procedure using the Cox maze III/IV lesion set as the preferred procedure,,,clinical_state:symptomatic [eq] | exclusion:structural heart disease is reasonable as a stand-alone procedure using the Cox maze III/IV lesion set as the preferred procedure [absent],is reasonable,,structural heart disease is reasonable as a stand-alone procedure using the Cox maze III/IV lesion set as the preferred procedure,
GR-1CC2ABB89329,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S014,,,guideline_generic,General Coronary Revascularization,I A Recommendations for operations other than mitral valve surgery Surgical ablation for atrial fibrillation is recommended for any first-time nonemergent concomitant nonmitral operation to restore sinus rhythm and improve long-term outcomes,,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.2 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:I A Recommendations for operations other than mitral valve surgery Surgical ablation for atrial fibrillation is recommen,,,,,,,,,,,is recommended,,,
GR-1EE7BA5F774C,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S015,,,guideline_generic,General Coronary Revascularization,"I B-NR Recommendations regarding stand-alone surgical ablation Surgical ablation for symptomatic atrial fibrillation in the absence of structural heart disease refractory to class I/III antiarrhythmic drugs, catheter-based therapy, or both, is reasonable as a primary stand-alone procedure to restore sinus rhythm",,,symptomatic,,,,,,,,,,structural heart disease refractory to class I/III antiarrhythmic drugs,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.2 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,exclusion:structural heart disease refractory to class I/III antiarrhythmic drugs,,,symptomatic,,,,structural heart disease refractory to class I/III antiarrhythmic drugs,,,clinical_state:symptomatic [eq] | exclusion:structural heart disease refractory to class I/III antiarrhythmic drugs [absent],is reasonable,,structural heart disease refractory to class I/III antiarrhythmic drugs,
GR-34B043514C78,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S039,,,guideline_generic,General Coronary Revascularization,Atrial fibrillation recurrence should prompt consideration for catheterbased assessment and possible ablation,,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.14 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Atrial fibrillation recurrence should prompt consideration for catheterbased assessment and possible ablation,,,,,,,,,,,,,,
GR-384908F9F643,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S025,,,guideline_generic,General Coronary Revascularization,I B-NR Surgical ablation for atrial fibrillation is recommended for any first-time nonemergent concomitant nonmitral operation to restore sinus rhythm and improve long-term outcomes,,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.3 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:I B-NR Surgical ablation for atrial fibrillation is recommended for any first-time nonemergent concomitant nonmitral ope,,,,,,,,,,,is recommended,,,
GR-4054627AA6EA,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S029,,,guideline_generic,General Coronary Revascularization,"IIa C Recommendations regarding stand-alone left atrial appendage management: Isolated surgical left atrial appendage obliteration may be considered in patients with longstanding persistent atrial fibrillation, a high stroke risk, and contraindications for or failure of long-term oral anticoagulation",,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.3 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:IIa C Recommendations regarding stand-alone left atrial appendage management: Isolated surgical left atrial appendage ob,,,,,,,,,,,may be considered,,,
GR-4A5887FB55F3,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S022,,,guideline_generic,General Coronary Revascularization,"In , only 43% of all patients with documented atrial fibrillation undergoing first-time, nonemergent cardiac surgery were treated with surgical ablation plus surgical left atrial appendage occlusion, whereas 30% received neither a Updated and New Recommendations in The Society of Thoracic Surgeons 2023 Clinical Practice Guidelines for the Surgical Treatment of Atrial Fibrillation STS 2017 Clinical Practice Guidelines STS 2023 Clinical Practice Guidelines Recommendations for mitral valve operations: Surgical ablation for atrial fibrillation can be performed without additional risk of operative mortality or major morbidity and is recommended at the time of concomitant mitral operations to restore sinus rhythm",,,,,,,,,,,,,additional risk of operative mortality or major morbidity and is recommended at the time of concomitant mitral operations to restore sinus rhythm,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.3 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,exclusion:additional risk of operative mortality or major morbidity and is recommended at the time of concomitant mitral operations to restore sinus rhythm,,,,,,,additional risk of operative mortality or major morbidity and is recommended at the time of concomitant mitral operations to restore sinus rhythm,,,exclusion:additional risk of operative mortality or major morbidity and is recommended at the time of concomitant mitral operations to restore sinus rhythm [absent],is recommended,,additional risk of operative mortality or major morbidity and is recommended at the time of concomitant mitral operations to restore sinus rhythm,
GR-52FA90466B6D,STS-SURGICAL-ATRIAL-FIBRILLATION-2023:S001,,,guideline_generic,General Coronary Revascularization,"On the basis of available data, current ablation techniques are safe and should be applied during open left atrial procedures, even for high-risk patients",,,,,,,,,,,,,,,,2026-04-27T15:25:56.269124+00:00,,Cardiologia,Arritmias,p.5 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:On the basis of available data, current ablation techniques are safe and should be applied during open left atrial proce",,,,,,,,,,,,,,
