recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-01372B004565,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S005,2A,B,guideline_generic,General Coronary Revascularization,"In patients undergoing cardiac operations, it is reasonable to implement standardized transfusion protocols in order to reduce transfusion burden",undergoing cardiac operations,,,,,,,,,,reduce transfusion burden,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 class-level-row COR 2A LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-2a, loe-b",0.82,recommendation-language; cor:2a; loe:b; population-extracted; source-locator,population:undergoing cardiac operations; outcome:reduce transfusion burden,undergoing cardiac operations,undergoing cardiac operations,,,,,,,,population:undergoing cardiac operations [eq],is reasonable,,,reduce transfusion burden
GR-0237A7437E53,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S024,1,A,guideline_generic,General Coronary Revascularization,"In high-risk patients with known malignancy who require CPB, blood salvage using centrifugation of salvaged blood from the operative field may be considered when allogeneic transfusion is required",,,,,,,,,,,,allogeneic transfusion is required,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.2 narrative COR 1 LOE A,critical,1.0,"guideline, society-issued, recommendation-language, cor-1, loe-a",0.74,recommendation-language; cor:1; loe:a; source-locator,condition:allogeneic transfusion is required,allogeneic transfusion is required,,,,,,,,allogeneic transfusion is required,condition:allogeneic transfusion is required [contains],may be considered,allogeneic transfusion is required,,
GR-0239A52EF9EA,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S012,2A,B,guideline_generic,General Coronary Revascularization,Use of recombinant factor VIIa concentrate may be considered for the management of intractable nonsurgical bleeding that is unresponsive to routine hemostatic therapy after cardiac procedures using CPB,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 class-level-row COR 2A LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-2a, loe-b",0.74,recommendation-language; cor:2a; loe:b; source-locator,statement:Use of recombinant factor VIIa concentrate may be considered for the management of intractable nonsurgical bleeding that,,,,,,,,,,,may be considered,,,
GR-06C8248CC8C5,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S003,2B,B,guideline_generic,General Coronary Revascularization,Centrifugation of pump-salvaged blood is reasonable for minimizing post-CPB allogeneic red blood cell transfusion,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.2 class-level-row COR 2B LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-2b, loe-b",0.74,recommendation-language; cor:2b; loe:b; source-locator,statement:Centrifugation of pump-salvaged blood is reasonable for minimizing post-CPB allogeneic red blood cell transfusion,,,,,,,,,,,is reasonable,,,
GR-0C18C6109E68,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S001,2B,B,guideline_generic,General Coronary Revascularization,Plasma transfusion is reasonable in patients with serious bleeding in the context of multiple or single coagulation factor deficiencies when safer fractionated products are not available,,,,,,,,,,,,safer fractionated products are not available,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.2 class-level-row COR 2B LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-2b, loe-b",0.74,recommendation-language; cor:2b; loe:b; source-locator,condition:safer fractionated products are not available,safer fractionated products are not available,,,,,,,,safer fractionated products are not available,condition:safer fractionated products are not available [contains],is reasonable,safer fractionated products are not available,,
GR-0E34343B61BE,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S079,,,guideline_generic,General Coronary Revascularization,FLUID MANAGEMENT • It is reasonable to administer human albumin after cardiac surgery to provide intravascular volume replacement and minimize the need for transfusion,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.18 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:FLUID MANAGEMENT • It is reasonable to administer human albumin after cardiac surgery to provide intravascular volume re,,,,,,,,,,,is reasonable,,,
GR-0F78D03A0805,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S009,2A,B,guideline_generic,General Coronary Revascularization,Topical application of antifibrinolytic agents to the surgical site after cardiopulmonary bypass (CPB) is reasonable to limit chest tube drainage and transfusion requirements after cardiac operations using CPB,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 class-level-row COR 2A LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-2a, loe-b",0.74,recommendation-language; cor:2a; loe:b; source-locator,statement:Topical application of antifibrinolytic agents to the surgical site after cardiopulmonary bypass (CPB) is reasonable to,,,,,,,,,,,is reasonable,,,
GR-153484165E9C,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S021,2A,A,guideline_generic,General Coronary Revascularization,Minimization of phlebotomy through a reduction in blood sampling volumes and frequencies is a reasonable means of blood conservation,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.2 narrative COR 2A LOE A,critical,1.0,"guideline, society-issued, recommendation-language, cor-2a, loe-a",0.74,recommendation-language; cor:2a; loe:a; source-locator,statement:Minimization of phlebotomy through a reduction in blood sampling volumes and frequencies is a reasonable means of blood,,,,,,,,,,,,,,
GR-1782C6648595,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S055,,,guideline_generic,General Coronary Revascularization,"(Class IIA, Level C-LD) • If the antidote for the specified NOAC is not available, prothrombin concentrate is recommended, recognizing that the effective response may be variable",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.9 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:(Class IIA, Level C-LD) • If the antidote for the specified NOAC is not available, prothrombin concentrate is recommende",,,,,,,,,,,is recommended,,,
GR-20BB7210E866,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S046,,,guideline_generic,General Coronary Revascularization,"PREOPERATIVE DIAGNOSIS AND TREATMENT OF ANEMIA— NONPHARMACOLOGIC INTERVENTIONS • In patients undergoing cardiac operations, it is reasonable to implement standardized transfusion protocols in order to reduce transfusion burden",,,,,,,,,,,reduce transfusion burden,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.7 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,outcome:reduce transfusion burden,,,,,,,,,,,is reasonable,,,reduce transfusion burden
