recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-00442FC6497F,UPL-CE02A6AB5E49:S103,2B,B-R,guideline_acc_aha_scai,CABG Strategy,"In selected patients undergoing CABG, DAPT with aspirin and ticagrelor or clopidogrel for 1 year may be reasonable to improve vein graft patency compared with aspirin alone",,,,,,,,,,aspirin alone,improve vein graft patency compared with aspirin alone,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.53 line-table COR 2B LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2b, loe-b",0.74,recommendation-language; cor:2b; loe:b-r; source-locator,comparator:aspirin alone; outcome:improve vein graft patency compared with aspirin alone,,,,,,,,,,,,,,improve vein graft patency compared with aspirin alone
GR-0174F1D10636,UPL-CE02A6AB5E49:S083,1,B-R,guideline_acc_aha_scai,CABG Strategy,"In patients undergoing isolated CABG, the use of a radial artery is recommended in preference to a saphenous vein conduit to graft the second most important, significantly stenosed, non–LAD vessel to improve long-term cardiac outcomes",undergoing isolated,,,significant,,,,,the use of a radial artery,"a saphenous vein conduit to graft the second most important, significantly stenosed, non–LAD vessel to improve long-term cardiac outcomes",improve long-term cardiac outcomes,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.46 line-table COR 1 LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-b",0.94,recommendation-language; cor:1; loe:b-r; population-extracted; intervention-extracted; source-locator; clinical-entities,"population:undergoing isolated; intervention:the use of a radial artery; comparator:a saphenous vein conduit to graft the second most important, significantly stenosed, non–LAD vessel to improve long-term cardiac outcomes; outcome:improve long-term cardiac outcomes",undergoing isolated,undergoing isolated,,,,,,,,population:undergoing isolated [eq],the use of a radial artery is recommended,,,improve long-term cardiac outcomes
GR-0393D854619A,UPL-CE02A6AB5E49:S186,,,guideline_acc_aha_scai,General Coronary Revascularization,"Decisions in pregnant patients are often difficult and must include consideration of the risk to the unborn fetus, as well as the risks and benefits to the mother",,,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,special-population,Cirugia Cardiovascular,Revascularizacion Coronaria,p.30 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Decisions in pregnant patients are often difficult and must include consideration of the risk to the unborn fetus, as we",,,,,,,,,,,,,,
GR-054F9455EC46,UPL-CE02A6AB5E49:S038,2A,B-R,guideline_acc_aha_scai,Physiology and Complexity Assessment,"In patients who require revascularization for multivessel CAD with complex or diffuse CAD (eg, SYNTAX score >33), it is reasonable to choose CABG over PCI to confer a survival advantage",require,multivessel CAD,,multivessel,,,SYNTAX score >33,,,PCI to confer a survival advantage,,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.27 line-table COR 2A LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.86,recommendation-language; cor:2a; loe:b-r; population-extracted; source-locator; clinical-entities,population:require; comparator:PCI to confer a survival advantage; numeric_threshold:SYNTAX score >33,require,require,,multivessel CAD,,,,SYNTAX score >33,,population:require [eq] | disease:multivessel CAD [eq] | numeric_threshold:SYNTAX score >33 [>] -> 33,is reasonable,,,
GR-0599ABBBFC25,UPL-CE02A6AB5E49:S063,2A,B-R,guideline_acc_aha_scai,Left Main Disease,"In patients undergoing coronary stent implantation, OCT is a reasonable alternative to IVUS for procedural guidance, except in ostial left main disease",undergoing coronary stent implantation,left main disease,,,,,,,,,,,in ostial left main disease,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.36 line-table COR 2A LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.82,recommendation-language; cor:2a; loe:b-r; population-extracted; source-locator,population:undergoing coronary stent implantation; exclusion:in ostial left main disease,undergoing coronary stent implantation,undergoing coronary stent implantation,,left main disease,,,in ostial left main disease,,,population:undergoing coronary stent implantation [eq] | disease:left main disease [eq] | exclusion:in ostial left main disease [absent],,,in ostial left main disease,
GR-07926B13752E,UPL-CE02A6AB5E49:S155,,,guideline_acc_aha_scai,Revascularization Strategy,"Hence, the decision to continue beta blockers in the long term in patients after revascularization should be made on an individualized basis",,,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.55 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Hence, the decision to continue beta blockers in the long term in patients after revascularization should be made on an",,,,,,,,,,,,,,
GR-0954C1291B94,UPL-CE02A6AB5E49:S121,,,guideline_acc_aha_scai,Heart Team,"In patients being considered for coronary revascularization for whom the optimal treatment strategy is unclear, a multidisciplinary Heart Team approach is recommended",being considered for,,,,,,,,a multidisciplinary Heart Team approach,,,the optimal treatment strategy is unclear,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.3 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.74,recommendation-language; population-extracted; intervention-extracted; source-locator; clinical-entities,population:being considered for; intervention:a multidisciplinary Heart Team approach; condition:the optimal treatment strategy is unclear,being considered for; the optimal treatment strategy is unclear,being considered for,,,,,,,the optimal treatment strategy is unclear,population:being considered for [eq] | condition:the optimal treatment strategy is unclear [contains],a multidisciplinary Heart Team approach is recommended,the optimal treatment strategy is unclear,,
GR-0998BDA01073,UPL-CE02A6AB5E49:S047,2A,C-LD,guideline_acc_aha_scai,Acute Coronary Syndromes,"In pregnant patients with NSTE-ACS, an invasive strategy is reasonable if medical therapy is ineffective for the management of lifethreatening complications",NSTE-ACS,NSTE-ACS,,,,,,,,,,pregnant with NSTE-ACS,,,,2026-04-24T05:27:57.103783+00:00,nste-acs,Cirugia Cardiovascular,Revascularizacion Coronaria,p.30 line-table COR 2A LOE C-LD,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-c",0.82,recommendation-language; cor:2a; loe:c-ld; population-extracted; source-locator,population:NSTE-ACS; condition:pregnant with NSTE-ACS,NSTE-ACS; pregnant with NSTE-ACS,NSTE-ACS,,NSTE-ACS,,,,,pregnant with NSTE-ACS,population:NSTE-ACS [eq] | disease:NSTE-ACS [eq] | condition:pregnant with NSTE-ACS [contains],is reasonable,pregnant with NSTE-ACS,,
GR-09C2CE171E07,UPL-CE02A6AB5E49:S107,2A,B-R,guideline_acc_aha_scai,PCI Strategy,"In patients with atrial fibrillation who are undergoing PCI, are taking oral anticoagulant therapy, and are treated with DAPT or a P2Y12 inhibitor monotherapy, it is reasonable to choose a non–vitamin K oral anticoagulant over warfarin to reduce the risk of bleeding",atrial fibrillation,,,,,,,,,warfarin to reduce the risk of bleeding,reduce the risk of bleeding,undergoing,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.56 line-table COR 2A LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.86,recommendation-language; cor:2a; loe:b-r; population-extracted; source-locator; clinical-entities,population:atrial fibrillation; comparator:warfarin to reduce the risk of bleeding; outcome:reduce the risk of bleeding; condition:undergoing,atrial fibrillation; undergoing,atrial fibrillation,,,,,,,undergoing,population:atrial fibrillation [eq] | condition:undergoing [contains],is reasonable,undergoing,,reduce the risk of bleeding
GR-0A3DF0437E6A,UPL-CE02A6AB5E49:S153,,,guideline_acc_aha_scai,CABG Strategy,"In such patients, the risk of ischemic events must be weighed against the risks of bleeding when decisions are made about the cessation of P2Y12 receptor inhibitors before CABG",,,,,,,,,,,,decisions are made about the cessation of P2Y12 receptor inhibitors before CABG,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.51 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,condition:decisions are made about the cessation of P2Y12 receptor inhibitors before CABG,decisions are made about the cessation of P2Y12 receptor inhibitors before CABG,,,,,,,,decisions are made about the cessation of P2Y12 receptor inhibitors before CABG,condition:decisions are made about the cessation of P2Y12 receptor inhibitors before CABG [contains],,decisions are made about the cessation of P2Y12 receptor inhibitors before CABG,,
